state_name,year,all_deaths
Oregon,2003,30912
Pennsylvania,2003,129769
Rhode Island,2003,10039
South Carolina,2003,38112
South Dakota,2003,7132
Tennessee,2003,57313
Texas,2003,154870
United States,2003,2448288
Utah,2003,13412
Vermont,2003,5120
Virginia,2003,58282
Washington,2003,45920
West Virginia,2003,21306
Wisconsin,2003,46177
Wyoming,2003,4172
Alabama,2004,46121
Alaska,2004,3051
Arizona,2004,43198
Arkansas,2004,27528
California,2004,232525
Colorado,2004,28309
Connecticut,2004,29314
Delaware,2004,7143
District of Columbia,2004,5454
Florida,2004,169008
Georgia,2004,65818
Hawaii,2004,9030
Idaho,2004,10028
Illinois,2004,102670
Indiana,2004,54211
Iowa,2004,26897
Kansas,2004,23818
Kentucky,2004,38646
Louisiana,2004,42215
Maine,2004,12443
Maryland,2004,43232
Massachusetts,2004,54511
Michigan,2004,85169
Minnesota,2004,37034
Mississippi,2004,27871
Missouri,2004,53950
Montana,2004,8094
Nebraska,2004,14657
Nevada,2004,17929
New Hampshire,2004,10111
New Jersey,2004,71371
New Mexico,2004,14298
New York,2004,152681
North Carolina,2004,72384
North Dakota,2004,5601
Ohio,2004,106288
Oklahoma,2004,34483
Oregon,2004,30313
Pennsylvania,2004,127640
Rhode Island,2004,9769
South Carolina,2004,37276
South Dakota,2004,6833
Tennessee,2004,55829
Texas,2004,152870
United States,2004,2397615
Utah,2004,13331
Vermont,2004,4995
Virginia,2004,56550
Washington,2004,44770
West Virginia,2004,20793
Wisconsin,2004,45600
Wyoming,2004,3955
Alabama,2005,47090
Alaska,2005,3168
Arizona,2005,45827
Arkansas,2005,28055
California,2005,237037
Colorado,2005,29627
Connecticut,2005,29467
Delaware,2005,7472
District of Columbia,2005,5483
Florida,2005,170791
Georgia,2005,66736
Hawaii,2005,9136
Idaho,2005,10556
Illinois,2005,103974
Indiana,2005,55675
Iowa,2005,27811
Kansas,2005,24682
Kentucky,2005,40223
Louisiana,2005,44355
Maine,2005,12868
Maryland,2005,43892
Massachusetts,2005,53874
Michigan,2005,86867
Minnesota,2005,37535
Mississippi,2005,29196
Missouri,2005,54656
Montana,2005,8528
Nebraska,2005,14963
Nevada,2005,19029
New Hampshire,2005,10194
New Jersey,2005,71963
New Mexico,2005,14983
New York,2005,152427
North Carolina,2005,74638
North Dakota,2005,5744
Ohio,2005,109031
Oklahoma,2005,36180
Oregon,2005,31091
Pennsylvania,2005,129532
Rhode Island,2005,10007
South Carolina,2005,38707
South Dakota,2005,7086
Tennessee,2005,57260
Texas,2005,156457
United States,2005,2448017
Utah,2005,13432
Vermont,2005,5066
Virginia,2005,57855
Washington,2005,46203
West Virginia,2005,20780
Wisconsin,2005,46709
Wyoming,2005,4099
Alabama,2006,46977
Alaska,2006,3354
Arizona,2006,46365
Arkansas,2006,27901
California,2006,237126
Colorado,2006,29521
Connecticut,2006,29260
Delaware,2006,7204
District of Columbia,2006,5344
Florida,2006,170066
Georgia,2006,67808
Hawaii,2006,9432
Idaho,2006,10613
Illinois,2006,102171
Indiana,2006,55622
Iowa,2006,27362
Kansas,2006,24553
Kentucky,2006,40102
Louisiana,2006,40045
Maine,2006,12294
Maryland,2006,43582
Massachusetts,2006,53450
Michigan,2006,86042
Minnesota,2006,37028
Mississippi,2006,28564
Missouri,2006,54681
Montana,2006,8472
Nebraska,2006,14899
Nevada,2006,18872
New Hampshire,2006,10060
New Jersey,2006,70356
New Mexico,2006,15296
New York,2006,148806
North Carolina,2006,74716
North Dakota,2006,5868
Ohio,2006,106825
Oklahoma,2006,35427
Oregon,2006,31380
Pennsylvania,2006,125539
Rhode Island,2006,9690
South Carolina,2006,38761
South Dakota,2006,7084
Tennessee,2006,56838
Texas,2006,157150
United States,2006,2426264
Utah,2006,13764
Vermont,2006,5048
Virginia,2006,57690
Washington,2006,46120
West Virginia,2006,20672
Wisconsin,2006,46153
Wyoming,2006,4311
Alabama,2007,46696
Alaska,2007,3463
Arizona,2007,45554
Arkansas,2007,28191
California,2007,233720
Colorado,2007,29993
Connecticut,2007,28651
Delaware,2007,7327
District of Columbia,2007,5188
Florida,2007,168096
Georgia,2007,68331
Hawaii,2007,9495
Idaho,2007,10822
Illinois,2007,100503
Indiana,2007,54000
Iowa,2007,27221
Kansas,2007,24491
Kentucky,2007,40090
Louisiana,2007,39966
Maine,2007,12493
Maryland,2007,43757
Massachusetts,2007,52917
Michigan,2007,86721
Minnesota,2007,37138
Mississippi,2007,28255
Missouri,2007,54166
Montana,2007,8624
Nebraska,2007,15263
Nevada,2007,18687
New Hampshire,2007,10303
New Jersey,2007,69662
New Mexico,2007,15482
New York,2007,147680
North Carolina,2007,76046
North Dakota,2007,5561
Ohio,2007,106534
Oklahoma,2007,36032
Oregon,2007,31403
Pennsylvania,2007,125104
Rhode Island,2007,9723
South Carolina,2007,39439
South Dakota,2007,6826
Tennessee,2007,57087
Texas,2007,160548
United States,2007,2423712
Utah,2007,14143
Vermont,2007,5179
Virginia,2007,58225
Washington,2007,47323
West Virginia,2007,21086
Wisconsin,2007,46241
Wyoming,2007,4266
Alabama,2008,47707
Alaska,2008,3494
Arizona,2008,45823
Arkansas,2008,29322
California,2008,234766
Colorado,2008,31274
Connecticut,2008,28794
Delaware,2008,7622
District of Columbia,2008,5140
Florida,2008,170703
Georgia,2008,69640
Hawaii,2008,9501
Idaho,2008,10962
Illinois,2008,103471
Indiana,2008,56752
Iowa,2008,28541
Kansas,2008,24975
Kentucky,2008,41329
Louisiana,2008,41220
Maine,2008,12541
Maryland,2008,43892
Massachusetts,2008,53518
Michigan,2008,88445
Minnesota,2008,38499
Mississippi,2008,28984
Missouri,2008,56578
Montana,2008,8913
Nebraska,2008,15461
Nevada,2008,19335
New Hampshire,2008,10268
New Jersey,2008,70026
New Mexico,2008,16005
New York,2008,148698
North Carolina,2008,77283
North Dakota,2008,5871
Ohio,2008,109767
Oklahoma,2008,37014
Oregon,2008,31967
Pennsylvania,2008,127462
Rhode Island,2008,9738
South Carolina,2008,40289
South Dakota,2008,7083
Tennessee,2008,58820
Texas,2008,164914
United States,2008,2471984
Utah,2008,14040
Vermont,2008,5211
Virginia,2008,59100
Washington,2008,48627
West Virginia,2008,21557
Wisconsin,2008,46815
Wyoming,2008,4227
Alabama,2009,47470
Alaska,2009,3618
Arizona,2009,45816
Arkansas,2009,28673
California,2009,232736
Colorado,2009,31173
Connecticut,2009,28585
Delaware,2009,7534
District of Columbia,2009,4834
Florida,2009,169924
Georgia,2009,69712
Hawaii,2009,9914
Idaho,2009,11098
Illinois,2009,100056
Indiana,2009,55973
Iowa,2009,27544
Kansas,2009,24024
Kentucky,2009,41380
Louisiana,2009,40282
Maine,2009,12594
Maryland,2009,43843
Massachusetts,2009,52308
Michigan,2009,86455
Minnesota,2009,37851
Mississippi,2009,28275
Missouri,2009,54263
Montana,2009,8730
Nebraska,2009,14810
Nevada,2009,19224
New Hampshire,2009,10100
New Jersey,2009,68277
New Mexico,2009,15643
New York,2009,146475
North Carolina,2009,77117
North Dakota,2009,5914
Ohio,2009,107156
Oklahoma,2009,35601
Oregon,2009,31636
Pennsylvania,2009,124780
Rhode Island,2009,9395
South Carolina,2009,40449
South Dakota,2009,6923
Tennessee,2009,58288
Texas,2009,163249
United States,2009,2437163
Utah,2009,14138
Vermont,2009,5034
Virginia,2009,58653
Washington,2009,48270
West Virginia,2009,21386
Wisconsin,2009,45697
Wyoming,2009,4283
Alabama,2010,48038
Alaska,2010,3728
Arizona,2010,46762
Arkansas,2010,28916
California,2010,234012
Colorado,2010,31465
Connecticut,2010,28692
Delaware,2010,7706
District of Columbia,2010,4672
Florida,2010,173791
Georgia,2010,71263
Hawaii,2010,9617
Idaho,2010,11429
Illinois,2010,99931
Indiana,2010,56743
Iowa,2010,27745
Kansas,2010,24502
Kentucky,2010,41983
Louisiana,2010,40667
Maine,2010,12750
Maryland,2010,43325
Massachusetts,2010,52583
Michigan,2010,88021
Minnesota,2010,38972
Mississippi,2010,28965
Missouri,2010,55281
Montana,2010,8827
Nebraska,2010,15171
Nevada,2010,19623
New Hampshire,2010,10201
New Jersey,2010,69495
New Mexico,2010,15931
New York,2010,146432
North Carolina,2010,78773
North Dakota,2010,5944
Ohio,2010,108711
Oklahoma,2010,36529
Oregon,2010,31890
Pennsylvania,2010,124596
Rhode Island,2010,9579
South Carolina,2010,41614
South Dakota,2010,7100
Tennessee,2010,59578
Texas,2010,166527
United States,2010,2468435
Utah,2010,14776
Vermont,2010,5380
Virginia,2010,59032
Washington,2010,48146
West Virginia,2010,21275
Wisconsin,2010,47308
Wyoming,2010,4438
Alabama,2011,48681
Alaska,2011,3849
Arizona,2011,48381
Arkansas,2011,29653
California,2011,239942
Colorado,2011,32563
Connecticut,2011,29526
Delaware,2011,7845
District of Columbia,2011,4589
Florida,2011,173976
Georgia,2011,71248
Hawaii,2011,9923
Idaho,2011,12027
Illinois,2011,101906
Indiana,2011,58202
Iowa,2011,28184
Kansas,2011,25116
Kentucky,2011,42626
Louisiana,2011,40890
Maine,2011,13001
Maryland,2011,43745
Massachusetts,2011,53710
Michigan,2011,89508
Minnesota,2011,39820
Mississippi,2011,29278
Missouri,2011,55848
Montana,2011,9115
Nebraska,2011,15476
Nevada,2011,20343
New Hampshire,2011,10823
New Jersey,2011,70558
New Mexico,2011,16452
New York,2011,149174
North Carolina,2011,79882
North Dakota,2011,5965
Ohio,2011,111427
Oklahoma,2011,37175
Oregon,2011,32788
Pennsylvania,2011,128237
Rhode Island,2011,9581
South Carolina,2011,42072
South Dakota,2011,7314
Tennessee,2011,60541
Texas,2011,168640
United States,2011,2515458
Utah,2011,15266
Vermont,2011,5433
Virginia,2011,60804
Washington,2011,49691
West Virginia,2011,21867
Wisconsin,2011,48410
Wyoming,2011,4387
Alabama,2012,49301
Alaska,2012,3912
Arizona,2012,49549
Arkansas,2012,30117
California,2012,242554
Colorado,2012,33133
Connecticut,2012,29316
Delaware,2012,7875
District of Columbia,2012,4650
Florida,2012,177291
Georgia,2012,72847
Hawaii,2012,10274
Idaho,2012,11998
Illinois,2012,102433
Indiana,2012,59332
Iowa,2012,28389
Kansas,2012,25145
Kentucky,2012,43664
Louisiana,2012,42320
Maine,2012,12870
Maryland,2012,44477
Massachusetts,2012,53177
Michigan,2012,89901
Minnesota,2012,40016
Mississippi,2012,29544
Missouri,2012,56094
Montana,2012,8976
Nebraska,2012,15659
Nevada,2012,20785
New Hampshire,2012,10730
New Jersey,2012,70534
New Mexico,2012,16710
New York,2012,148991
North Carolina,2012,81925
North Dakota,2012,6038
Ohio,2012,112498
Oklahoma,2012,36870
Oregon,2012,32759
Pennsylvania,2012,126981
Rhode Island,2012,9354
South Carolina,2012,43198
South Dakota,2012,7333
Tennessee,2012,61956
Texas,2012,174187
United States,2012,2543279
Utah,2012,15676
Vermont,2012,5491
Virginia,2012,61564
Washington,2012,50105
West Virginia,2012,21915
Wisconsin,2012,48384
Wyoming,2012,4481
Alabama,2013,50189
Alaska,2013,3997
Arizona,2013,50534
Arkansas,2013,30437
California,2013,248359
Colorado,2013,33712
Connecticut,2013,29632
Delaware,2013,7967
District of Columbia,2013,4719
Florida,2013,181112
Georgia,2013,75088
Hawaii,2013,10505
Idaho,2013,12434
Illinois,2013,103401
Indiana,2013,60716
Iowa,2013,28948
Kansas,2013,25414
Kentucky,2013,43759
Louisiana,2013,43270
Maine,2013,13547
Maryland,2013,45689
Massachusetts,2013,54567
Michigan,2013,92408
Minnesota,2013,40987
Mississippi,2013,30703
Missouri,2013,57444
Montana,2013,9511
Nebraska,2013,15754
Nevada,2013,21468
New Hampshire,2013,10897
New Jersey,2013,71403
New Mexico,2013,16805
New York,2013,150919
North Carolina,2013,83329
North Dakota,2013,6233
Ohio,2013,113258
Oklahoma,2013,38384
Oregon,2013,33939
Pennsylvania,2013,129123
Rhode Island,2013,9792
South Carolina,2013,44582
South Dakota,2013,7099
Tennessee,2013,63406
Texas,2013,179183
United States,2013,2596993
Utah,2013,16366
Vermont,2013,5639
Virginia,2013,62716
Washington,2013,51264
West Virginia,2013,21843
Wisconsin,2013,50026
Wyoming,2013,4516
Alabama,2014,50215
Alaska,2014,4128
Arizona,2014,51538
Arkansas,2014,30467
California,2014,245929
Colorado,2014,35237
Connecticut,2014,29860
Delaware,2014,8260
District of Columbia,2014,4723
Florida,2014,185956
Georgia,2014,76887
Hawaii,2014,10767
Idaho,2014,12613
Illinois,2014,105293
Indiana,2014,60940
Iowa,2014,29190
Kansas,2014,25793
Kentucky,2014,44838
Louisiana,2014,43869
Maine,2014,13510
Maryland,2014,45867
Massachusetts,2014,55200
Michigan,2014,93914
Minnesota,2014,41445
Mississippi,2014,30557
Missouri,2014,58320
Montana,2014,9381
Nebraska,2014,15978
Nevada,2014,21793
New Hampshire,2014,11516
New Jersey,2014,71316
New Mexico,2014,17579
New York,2014,149944
North Carolina,2014,85367
North Dakota,2014,6184
Ohio,2014,114509
Oklahoma,2014,38464
Oregon,2014,34151
Pennsylvania,2014,128434
Rhode Island,2014,9770
South Carolina,2014,45454
South Dakota,2014,7507
Tennessee,2014,64661
Texas,2014,183912
United States,2014,2626418
Utah,2014,16719
Vermont,2014,5623
Virginia,2014,63598
Washington,2014,52099
West Virginia,2014,22186
Wisconsin,2014,50291
Wyoming,2014,4666
Alabama,2015,51909
Alaska,2015,4316
Arizona,2015,54299
Arkansas,2015,31617
California,2015,259206
Colorado,2015,36349
Connecticut,2015,30535
Delaware,2015,8582
District of Columbia,2015,4871
Florida,2015,191737
Georgia,2015,79942
Hawaii,2015,11053
Idaho,2015,13026
Illinois,2015,106872
Indiana,2015,62713
Iowa,2015,29600
Kansas,2015,26664
Kentucky,2015,46564
Louisiana,2015,43716
Maine,2015,14479
Maryland,2015,47247
Massachusetts,2015,57806
Michigan,2015,95140
Minnesota,2015,42800
Mississippi,2015,31783
Missouri,2015,59871
Montana,2015,9942
Nebraska,2015,16740
Nevada,2015,22879
New Hampshire,2015,11984
New Jersey,2015,72271
New Mexico,2015,17685
New York,2015,153628
North Carolina,2015,89133
North Dakota,2015,6223
Ohio,2015,118188
Oklahoma,2015,39422
Oregon,2015,35705
Pennsylvania,2015,132598
Rhode Island,2015,10163
South Carolina,2015,47198
South Dakota,2015,7731
Tennessee,2015,66570
Texas,2015,189654
United States,2015,2712630
Utah,2015,17334
Vermont,2015,5919
Virginia,2015,65577
Washington,2015,54595
West Virginia,2015,22752
Wisconsin,2015,51264
Wyoming,2015,4778
Alabama,2016,52466
Alaska,2016,4494
Arizona,2016,56645
Arkansas,2016,31756
California,2016,262240
Colorado,2016,37530
Connecticut,2016,30543
Delaware,2016,8874
District of Columbia,2016,5037
Florida,2016,197313
Georgia,2016,81428
Hawaii,2016,10913
Idaho,2016,13366
Illinois,2016,107020
Indiana,2016,63473
Iowa,2016,29538
Kansas,2016,26245
Kentucky,2016,47827
Louisiana,2016,44306
Maine,2016,14182
Maryland,2016,48824
Massachusetts,2016,56961
Michigan,2016,96231
Minnesota,2016,43078
Mississippi,2016,31741
Missouri,2016,59873
Montana,2016,9905
Nebraska,2016,16217
Nevada,2016,23902
New Hampshire,2016,12203
New Jersey,2016,73155
New Mexico,2016,18365
New York,2016,154358
North Carolina,2016,90465
North Dakota,2016,6242
Ohio,2016,119572
Oklahoma,2016,39276
Oregon,2016,35778
Pennsylvania,2016,133040
Rhode Island,2016,9735
South Carolina,2016,48130
South Dakota,2016,7845
Tennessee,2016,67857
Texas,2016,191966
United States,2016,2744248
Utah,2016,17913
Vermont,2016,5909
Virginia,2016,66473
Washington,2016,54769
West Virginia,2016,22732
Wisconsin,2016,51815
Wyoming,2016,4722
United States,2017,2813503
Alabama,2017,53238
Alaska,2017,4411
Arizona,2017,57758
Arkansas,2017,32588
California,2017,268189
Colorado,2017,38063
Connecticut,2017,31312
Delaware,2017,9178
District of Columbia,2017,4965
Florida,2017,203636
Georgia,2017,83098
Hawaii,2017,11390
Idaho,2017,14011
Illinois,2017,109721
Indiana,2017,65597
Iowa,2017,30530
Kansas,2017,27063
Kentucky,2017,48212
Louisiana,2017,45804
Maine,2017,14676
Maryland,2017,49926
Massachusetts,2017,58803
Michigan,2017,97602
Minnesota,2017,44371
Mississippi,2017,32280
Missouri,2017,61876
Montana,2017,10200
Nebraska,2017,16878
Nevada,2017,24657
New Hampshire,2017,12504
New Jersey,2017,74846
New Mexico,2017,18673
New York,2017,155358
North Carolina,2017,93157
North Dakota,2017,6415
Ohio,2017,123648
Oklahoma,2017,40452
Oregon,2017,36624
Pennsylvania,2017,135656
Rhode Island,2017,10157
South Carolina,2017,49441
South Dakota,2017,7996
Tennessee,2017,70096
Texas,2017,198106
Utah,2017,18035
Vermont,2017,6007
Virginia,2017,68579
Washington,2017,56995
West Virginia,2017,23276
Wisconsin,2017,52681
Wyoming,2017,4768
Alabama,2018,53158
Alaska,2018,4311
Arizona,2018,60018
Arkansas,2018,31761
California,2018,269529
Colorado,2018,39053
Connecticut,2018,31370
Delaware,2018,9464
District of Columbia,2018,6176
Florida,2018,207537
Georgia,2018,85476
Hawaii,2018,11499
Idaho,2018,14133
Illinois,2018,106612
Indiana,2018,66080
Iowa,2018,30120
Kansas,2018,26404
Kentucky,2018,48212
Louisiana,2018,46073
Maine,2018,14520
Maryland,2018,50133
Massachusetts,2018,59914
Michigan,2018,97323
Minnesota,2018,44631
Mississippi,2018,31606
Missouri,2018,65360
Montana,2018,9961
Nebraska,2018,17112
Nevada,2018,25497
New Hampshire,2018,12467
New Jersey,2018,74649
New Mexico,2018,18396
New York,2018,100441
North Carolina,2018,94557
North Dakota,2018,7002
Ohio,2018,124296
Oklahoma,2018,39795
Oregon,2018,36088
Pennsylvania,2018,135677
Rhode Island,2018,10431
South Carolina,2018,49431
South Dakota,2018,8087
Tennessee,2018,74645
Texas,2018,204462
United States,2018,2839076
Utah,2018,18979
Vermont,2018,5773
Virginia,2018,68291
Washington,2018,56783
West Virginia,2018,22855
Wisconsin,2018,53376
Wyoming,2018,4647
Alabama,2019,53055
Alaska,2019,4520
Arizona,2019,60951
Arkansas,2019,32192
California,2019,269955
Colorado,2019,39959
Connecticut,2019,31815
Delaware,2019,9231
District of Columbia,2019,6022
Florida,2019,209164
Georgia,2019,85945
Hawaii,2019,11739
Idaho,2019,14302
Illinois,2019,105544
Indiana,2019,66243
Iowa,2019,30565
Kansas,2019,26663
Kentucky,2019,48653
Louisiana,2019,45983
Maine,2019,14826
Maryland,2019,50320
Massachusetts,2019,59375
Michigan,2019,97469
Minnesota,2019,45256
Mississippi,2019,31949
Missouri,2019,64549
Montana,2019,10404
Nebraska,2019,17149
Nevada,2019,26356
New Hampshire,2019,12370
New Jersey,2019,73994
New Mexico,2019,18832
New York,2019,100193
North Carolina,2019,96410
North Dakota,2019,7373
Ohio,2019,123359
Oklahoma,2019,39610
Oregon,2019,37305
Pennsylvania,2019,134823
Rhode Island,2019,10561
South Carolina,2019,49844
South Dakota,2019,8374
Tennessee,2019,75562
Texas,2019,205837
United States,2019,2852609
Utah,2019,19363
Vermont,2019,5653
Virginia,2019,69219
Washington,2019,58027
West Virginia,2019,22829
Wisconsin,2019,53851
Wyoming,2019,4674
Alabama,2020,61066
Alaska,2020,4615
Arizona,2020,74967
Arkansas,2020,36928
California,2020,307334
Colorado,2020,46629
Connecticut,2020,33917
Delaware,2020,10303
District of Columbia,2020,7150
Florida,2020,241214
Georgia,2020,98254
Hawaii,2020,12015
Idaho,2020,16130
Illinois,2020,126193
Indiana,2020,75293
Iowa,2020,34696
Kansas,2020,30503
Kentucky,2020,52636
Louisiana,2020,53971
Maine,2020,15669
Maryland,2020,58838
Massachusetts,2020,68639
Michigan,2020,113358
Minnesota,2020,51416
Mississippi,2020,38460
Missouri,2020,73340
Montana,2020,11704
Nebraska,2020,19265
Nevada,2020,30327
New Hampshire,2020,13503
New Jersey,2020,94717
New Mexico,2020,21178
New York,2020,118840
North Carolina,2020,77762
North Dakota,2020,8626
Ohio,2020,136821
Oklahoma,2020,43359
Oregon,2020,38970
Pennsylvania,2020,152734
Rhode Island,2020,11365
South Carolina,2020,58055
South Dakota,2020,9582
Tennessee,2020,86086
Texas,2020,244516
United States,2020,3258883
Utah,2020,21892
Vermont,2020,6061
Virginia,2020,77668
Washington,2020,61625
West Virginia,2020,21352
Wisconsin,2020,61557
Wyoming,2020,5397
